title,price,location,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,garasi,carport,sertifikat,jumlah_lantai,url
Turun Harga! Rumah Terawat Lingkungan Prime Area Ampera Dekat Tol Jorr Tb Simatupang,13500000000,Jakarta Selatan Kemang,752,230,5.0,4.0,2.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-kemang/turun-harga-rumah-terawat-lingkungan-prime-area-kemang-dekat-tol-jorr-tb-simatupang-hos40958189/
Rumah Nyaman Strategis Dlm Komplek di Kebayoran Baru Jaksel,16000000000,Jakarta Selatan Kebayoran Baru,312,225,5.0,6.0,2.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-kebayoran-baru/rumah-nyaman-strategis-dlm-komplek-di-kebayoran-baru-jaksel-hos41193533/
Murah Jual Nego Cepat Rumah Mewah+ Pool 634M2 di Pondok Indah,37000000000,Jakarta Selatan Pondok Indah,634,720,4.0,5.0,2.0,4.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/jual-cepat-rumah-mewah-634m2-swimming-pool-di-pondok-indah-hos40020727/
Hot Sale Bukit Golf Pondok Indah,120000000000,Jakarta Selatan Pondok Indah,1240,1217,5.0,6.0,4.0,4.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/hot-sale-bukit-golf-pondok-indah-hos41186067/
Jual Cepat Rumah 2 Lantai Cilandak Barat,7900000000,Jakarta Selatan Cilandak,201,387,4.0,2.0,1.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-cilandak/jual-cepat-rumah-2-lantai-cilandak-barat-hos41190810/
Rumah Murah Siap Huni Tebet Jakarta Selatan,2850000000,Jakarta Selatan Tebet,144,120,4.0,3.0,1.0,0.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-tebet/rumah-murah-siap-huni-tebet-jakarta-selatan-hos41041825/
Rumah Bagus Dikawasan Kuliner di Jakarta Selatan,10400000000,Jakarta Selatan Kemang,1206,503,4.0,3.0,3.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-kemang/rumah-bagus-dikawasan-kuliner-di-jakarta-selatan-hos41111601/
Rumah Bagus Dekat Fasilitas Umum di Jakarta Selatan,10000000000,Jakarta Selatan Kebayoran Baru,754,426,4.0,4.0,1.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-kebayoran-baru/rumah-bagus-dekat-fasilitas-umum-di-jakarta-selatan-hos41097168/
Rumah Bagus Dekat dengan Fasilitas Umum di Kawasan Elit di Jakarta Selatan,7610000000,Jakarta Selatan Kebayoran Baru,754,426,4.0,4.0,1.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-kebayoran-baru/rumah-bagus-dekat-dengan-fasilitas-umum-di-kawasan-elit-di-jakarta-selatan-hos41096460/
Rumah Murah Classic Modern Tebet Mas Spesifikasi Mahal Siap Huni Jual Cepat Lihat Jamin Beli,15500000000,Jakarta Selatan Tebet,350,340,3.0,4.0,0.0,3.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-tebet/rumah-murah-classic-modern-tebet-mas-spesifikasi-mahal-siap-huni-jual-cepat-lihat-jamin-beli-hos16225273/
Rumah Hook Ada Lift dan Pool di Bukit Golf Pondok Indah,135000000000,Jakarta Selatan Pondok Indah,1980,800,5.0,3.0,5.0,0.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/rumah-hook-ada-lift-dan-pool-di-bukit-golf-pondok-indah-hos18798452/
