,title,price,location,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,garasi,carport,sertifikat,jumlah_lantai,url
0,Turun Harga! Rumah Terawat Lingkungan Prime Area Ampera Dekat Tol Jorr Tb Simatupang,"Rp 13,5 Miliar",Jakarta Selatan Kemang,752 m²,230 m²,5,4,2,2,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-kemang/turun-harga-rumah-terawat-lingkungan-prime-area-kemang-dekat-tol-jorr-tb-simatupang-hos40958189/
1,Rumah Nyaman Strategis Dlm Komplek di Kebayoran Baru Jaksel,Rp 16 Miliar,Jakarta Selatan Kebayoran Baru,312 m²,225 m²,5,6,2,2,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-kebayoran-baru/rumah-nyaman-strategis-dlm-komplek-di-kebayoran-baru-jaksel-hos41193533/
2,Murah Jual Nego Cepat Rumah Mewah+ Pool 634M2 di Pondok Indah,Rp 37 Miliar,Jakarta Selatan Pondok Indah,634 m²,720 m²,4,5,2,4,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/jual-cepat-rumah-mewah-634m2-swimming-pool-di-pondok-indah-hos40020727/
3,Hot Sale Bukit Golf Pondok Indah,Rp 120 Miliar,Jakarta Selatan Pondok Indah,1240 m²,1217 m²,5,6,4,4,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/hot-sale-bukit-golf-pondok-indah-hos41186067/
4,Jual Cepat Rumah 2 Lantai Cilandak Barat,"Rp 7,9 Miliar",Jakarta Selatan Cilandak,201 m²,387 m²,4,2,1,2,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-cilandak/jual-cepat-rumah-2-lantai-cilandak-barat-hos41190810/
5,Rumah Murah Siap Huni Tebet Jakarta Selatan,"Rp 2,85 Miliar",Jakarta Selatan Tebet,144 m²,120 m²,4,3,1,,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-tebet/rumah-murah-siap-huni-tebet-jakarta-selatan-hos41041825/
6,Rumah Bagus Dikawasan Kuliner di Jakarta Selatan,"Rp 10,4 Miliar",Jakarta Selatan Kemang,1206 m²,503 m²,4,3,3,2,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-kemang/rumah-bagus-dikawasan-kuliner-di-jakarta-selatan-hos41111601/
7,Rumah Bagus Dekat Fasilitas Umum di Jakarta Selatan,Rp 10 Miliar,Jakarta Selatan Kebayoran Baru,754 m²,426 m²,4,4,1,2,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-kebayoran-baru/rumah-bagus-dekat-fasilitas-umum-di-jakarta-selatan-hos41097168/
8,Rumah Bagus Dekat dengan Fasilitas Umum di Kawasan Elit di Jakarta Selatan,"Rp 7,61 Miliar",Jakarta Selatan Kebayoran Baru,754 m²,426 m²,4,4,1,2,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-kebayoran-baru/rumah-bagus-dekat-dengan-fasilitas-umum-di-kawasan-elit-di-jakarta-selatan-hos41096460/
9,Rumah Murah Classic Modern Tebet Mas Spesifikasi Mahal Siap Huni Jual Cepat Lihat Jamin Beli,"Rp 15,5 Miliar",Jakarta Selatan Tebet,350 m²,340 m²,3,4,,3,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-tebet/rumah-murah-classic-modern-tebet-mas-spesifikasi-mahal-siap-huni-jual-cepat-lihat-jamin-beli-hos16225273/
